STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,D_COUNTRY,Country,FREQUENCY,Frequency,D_SOURCE_CATEGORIES,Source Categories,D_SUBSTANCES,Substances,D_UNIT,Unit,TIME_PERIOD,Time,OBS_VALUE,Measurement,OBS_STATUS,Status,FOOTNOTE,Footnote,OBS_COMMENT,Comment,DECIMALS,Decimals
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2002,,898833.179691,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2003,,899538.095865,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2004,,883451.063917,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2005,,866909.927517,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2006,,884925.258976,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2007,,845671.936778,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2008,,851006.145000,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2009,,789244.974311,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2010,,829787.026060,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2011,,805770.601565,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2012,,814786.862337,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2013,,834504.384337,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2014,,794687.853298,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2015,,798770.581513,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2016,,800432.112101,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2017,,788560.852349,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2018,,758195.207515,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2019,,709773.254396,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2020,,646682.835493,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2021,,679946.263933,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2022,,670016.663812,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2023,,591373.015085,,,,,,,,2,
